ALLIGATOR CREEK,1 ALLENDALE DRIVE,,,QLD
"APPLE TREE  
CREEK",BRUCE HIGHWAY,,,QLD
"BENARABY  
TRAVEL CENTRE",48813 BRUCE HIGHWAY,,,QLD
BLACKSOIL,1382 WARREGO HIGHWAY,,,QLD
BOWEN,18580 BRUCE HIGHWAY,,,QLD
CABOOLTURE,2-8 BEACHMERE ROAD,,,QLD
CHARLTON,"CNR WARREGO HWY &  
STEGER ROAD",,,QLD
"CHARTERS  
TOWERS",262 GILL STREET,,,QLD
CLERMONT,85 TURRAMA ROAD,,,QLD
DALBY,18204 WARREGO HIGHWAY,,,QLD
EMERALD,"CAPRICORN HIGHWAY &  
CODENWARRA ROAD",,,QLD
GARBUTT,26 PILKINGTON STREET,,,QLD
GOONDIWINDI,BOUNDARY ROAD,,,QLD
GRACEMERE,"SOMERSET ROAD &  
MACQUARIE STREET",,,QLD
"MARYBOROUGH  
NORTH","BRUCE HIGHWAY & QUARRY  
ROAD",,,QLD
MILES,"MURILLA STREET & TULLY  
STREET",,,QLD
REEDY CREEK,"PACIFIC HIGHWAY  
SOUTHBOUND",,,QLD
"ROCKHAMPTON  
NORTH (A)",524-528 YAAMBA ROAD,,,QLD
ROMA (B),153-157 RAGLAN STREET,,,QLD
"WARWICK TRUCK  
& TRAVEL","NEW ENGLAND HIGHWAY &  
CLEARY STREET",,,QLD
LABRADOR,244-252 BRISBANE ROAD,,,QLD
LYTTON,"2 KITE STREET  
PORT OF BRISBANE",,,QLD
RIPLEY,332 RIPLEY ROAD,,,QLD
RIVERVIEW,209 WESTPHALEN DRIVE,,,QLD
CHINDERAH,"CNR TWEED VALLEY WAY &  
PACIFIC HIGHWAY",,,NSW
COBAR,99 BARRIER HIGHWAY,,,NSW
COOLONGOLOOK,"MIDGE STREET & PACIFIC  
HIGHWAY",,,NSW
GILGANDRA,6425 NEWELL HIGHWAY,,,NSW
GUMLY GUMLY,3685 STURT HIGHWAY,,,NSW
HALFWAY CREEK,"50 KUNGALA ROAD CNR  
PACIFIC HIGHWAY",,,NSW
HOLBROOK,51 ALBURY STREET,,,NSW
INVERELL,143-149 WARIALDA ROAD,,,NSW
MACKSVILLE,"22 COOPER STREET (OFF  
PACIFIC HIGHWAY)",,,NSW
"MCDOUGALLS  
HILL","4949 NEW ENGLAND  
HIGHWAY",,,NSW
"PHEASANTS NEST  
(A)",LOTS 1 & 2 HUME HIGHWAY,,,NSW
"PHEASANTS NEST  
(B)",LOT 12 HUME HIGHWAY,,,NSW
TAREE SOUTH,"MANNING RIVER DRIVE &  
GLENTHORN ROAD",,,NSW
"WEST WYALONG  
(A)","EMU STREET & MID  
WESTERN HIGHWAY",,,NSW
"WYONG  
NORTHBOUND",F3 NORTHBOUND FREEWAY,,,NSW
"WYONG  
SOUTHBOUND",F3 SOUTHBOUND FREEWAY,,,NSW
YASS,1715 YASS VALLEY WAY,,,NSW
YETHOLME,"3529 GREAT WESTERN  
HIGHWAY",,,NSW
"ARARAT WESTERN  
HWY",8475 WESTERN HIGHWAY,,,VIC
AVENEL,"JONES STREET & ASH  
STREET",,,VIC
HORSHAM,"88 STAWELL ROAD CNR  
WESTER HIGHWAY",,,VIC
KALKALLO,1340 HUME HIGHWAY,,,VIC
RAVENSWOOD,"4633-4673 CALDER  
HIGHWAY",,,VIC
WAHRING,"GOULBURN VALLEY  
HIGHWAY & MOSS ROAD",,,VIC
BUNGAMA,"AUGUSTA HWY (CNR LOCKS  
RD)",,,SA
PENONG,EYRE HIGHWAY,,,SA
WINGFIELD,664-668 SOUTH ROAD,,,SA
"YAMBA  
ROADHOUSE",LOT 347 STURT HIGHWAY,,,SA
COOLGARDIE,110-114 BAYLEY STREET,,,WA
CUE ROADHOUSE,"CNR LOT 245 AUSTIN &  
MARSHALL STREET",,,WA
KALGOORIE (B),"HANNAN STREET &  
OCHILTREE STREET",,,WA
MECKERING,"LOT 57 GREAT EASTERN  
HIGHWAY",,,WA
NEWMAN,"LOT 61 PARDOO STREET &  
WELSH DRIVE",,,WA
"OVERLANDER  
ROADHOUSE","LOT 174 NORTH WEST  
HIGHWAY",,,WA
"PORT HEDLAND  
TRUCKSTOP","LOT 945 GREAT NORTHERN  
HIGHWAY",,,WA
SWAGMAN,LOT 599 HEPBURN STREET,,,WA
WILLARE BRIDGE,"LOT 64 GREAT NORTHERN  
HIGHWAY",,,WA
WILLIAMS,LOT 16-17 ALBANY HIGHWAY,,,WA
BYFORD,"SOUTH WEST HIGHWAY &  
NETTLEFORD ROAD",,,WA
"NORTH  
DANDALUP","4267 CNR SOUTH WEST  
HIGHWAY & DEL PARK  
ROAD",,,WA
"ROUS HEAD 
(TRUCK CANOPY)","LOT R113 NORTH MOLE  
DRIVE",,,WA
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
